"","STATE","DrunkNum","TotalPopEst2015"
"1",1,210,33430962
"2",2,24,3477555
"3",4,226,458606924
"4",5,117,9942227
"5",6,687,1705814377
"6",8,158,58821522
"7",9,88,51235037
"8",10,34,12550225
"9",11,5,3351885
"10",12,600,441887194
"11",13,288,71455914
"12",15,24,12298070
"13",16,70,7692517
"14",17,264,337041690
"15",18,142,28684717
"16",19,80,7686815
"17",20,70,11603798
"18",21,192,29673157
"19",22,238,38988947
"20",23,68,8218879
"21",24,143,70400909
"22",25,68,48725725
"23",26,241,130285892
"24",27,111,20920043
"25",28,124,8473894
"26",29,209,48630537
"27",30,87,3792093
"28",31,67,11089330
"29",32,86,131938319
"30",33,33,7490284
"31",34,89,43700762
"32",35,74,17095692
"33",36,218,168947927
"34",37,379,95106342
"35",38,49,1229246
"36",39,316,127235260
"37",40,161,35021516
"38",41,153,39682507
"39",42,329,127674061
"40",44,18,8424372
"41",45,283,58627116
"42",46,40,1273788
"43",47,249,64791715
"44",48,798,945845292
"45",49,44,18815887
"46",50,14,754200
"47",51,207,27464925
"48",53,149,112977107
"49",54,70,4458036
"50",55,171,38682533
"51",56,52,2140180
